# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Feb 28 23:32:45 2018
#
# CONSTRAINT:  where (pl_discmethod like '%transit%'
# CONSTRAINT:  and pl_bmassj is null
# CONSTRAINT:  and pl_k2flag = 1
# CONSTRAINT:  and dec > -15
# CONSTRAINT:  and st_teff <= 4000
# CONSTRAINT:  and st_j < 12
# CONSTRAINT:  )
# CONSTRAINT:  order by st_j desc
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN st_actr:        Stellar Activity log(R'HK)
# COLUMN st_actrerr:     Stellar Activity log(R'HK) Unc.
# COLUMN st_actrlim:     Stellar Activity log(R'HK) Limit Flag
# COLUMN st_j:           J-band (2MASS) [mag]
# COLUMN st_jerr:        J-band (2MASS) Unc. [mag]
# COLUMN st_jlim:        J-band (2MASS) Limit Flag
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_k2flag,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,st_actr,st_actrerr,st_actrlim,st_j,st_jerr,st_jlim
785,K2-117,b,Transit,2,1.29150500,0.00004000,-0.00004000,0,0.019000,0.001000,-0.001000,0,0.060000,0.138304,-0.053132,0,88.360,1.140,-1.370,0,,,,0,0.175,0.011,-0.011,0,,,,0,0,1,08h55m25.36s,133.855682,+10d28m08.9s,10.469131,100.00,14.00,-14.00,0,3842.12,82.26,-81.78,0,0.58,0.06,-0.06,0,0.49,0.03,-0.03,0,2017-10-05,,,,11.447,0.023,0
786,K2-117,c,Transit,2,5.44482000,0.00039700,-0.00041700,0,0.051000,0.002000,-0.002000,0,0.150000,0.178886,-0.115822,0,89.490,0.360,-0.480,0,,,,0,0.181,0.012,-0.012,0,,,,0,0,1,08h55m25.36s,133.855682,+10d28m08.9s,10.469131,100.00,14.00,-14.00,0,3842.12,82.26,-81.78,0,0.58,0.06,-0.06,0,0.49,0.03,-0.03,0,2017-10-05,,,,11.447,0.023,0
792,K2-122,b,Transit,1,2.21940500,0.00007100,-0.00006900,0,0.029000,0.001000,-0.001000,0,0.210000,0.182563,-0.167694,0,86.390,1.410,-0.630,0,,,,0,0.114,0.007,-0.007,0,,,,0,0,1,08h25m54.31s,126.476311,+20d21m34.5s,20.359570,74.00,11.00,-11.00,0,3993.36,77.64,-76.32,0,0.63,0.06,-0.06,0,0.59,0.03,-0.03,0,2017-10-05,,,,10.104,0.022,0
804,K2-133,b,Transit,3,3.07120000,0.00010000,-0.00010000,0,0.033000,0.002000,-0.002000,0,,,,0,87.560,0.060,-0.050,0,,,,0,0.117,0.007,-0.007,0,,,,0,0,1,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,,,,,3655.00,80.00,-80.00,0,0.51,0.03,-0.03,0,0.47,0.03,-0.03,0,2017-10-26,,,,11.084,0.021,0
805,K2-133,c,Transit,3,4.86820000,0.00010000,-0.00030000,0,0.045000,0.003000,-0.003000,0,,,,0,88.650,0.080,-0.160,0,,,,0,0.132,0.008,-0.008,0,,,,0,0,1,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,,,,,3655.00,80.00,-80.00,0,0.51,0.03,-0.03,0,0.47,0.03,-0.03,0,2017-10-26,,,,11.084,0.021,0
806,K2-133,d,Transit,3,11.02340000,0.00080000,-0.00030000,0,0.077000,0.005000,-0.005000,0,,,,0,89.520,0.150,-0.060,0,,,,0,0.180,0.012,-0.012,0,,,,0,0,1,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,,,,,3655.00,80.00,-80.00,0,0.51,0.03,-0.03,0,0.47,0.03,-0.03,0,2017-10-26,,,,11.084,0.021,0
826,K2-149,b,Transit,1,11.33200000,0.00130000,-0.00130000,0,0.083000,0.002700,-0.002700,0,,,,0,,,,0,,,,0,0.146,0.018,-0.016,0,,,,0,0,1,00h39m17.26s,9.821899,+07d16m37.6s,7.277100,118.00,18.00,-18.00,0,3745.00,70.00,-70.00,0,0.59,0.06,-0.06,0,0.57,0.06,-0.06,0,2018-02-01,,,,11.452,0.022,0
829,K2-151,b,Transit,1,3.83559200,0.00002300,-0.00002300,0,0.036500,0.001400,-0.001400,0,,,,0,,,,0,,,,0,0.120,0.014,-0.012,0,,,,0,0,1,01h17m13.09s,19.304525,+09d30m05.0s,9.501381,62.70,8.80,-8.80,0,3585.00,70.00,-70.00,0,0.44,0.05,-0.05,0,0.43,0.04,-0.04,0,2018-02-01,,,,10.930,0.027,0
830,K2-152,b,Transit,1,32.65270000,0.00350000,-0.00350000,0,0.173500,0.005400,-0.005400,0,,,,0,,,,0,,,,0,0.251,0.030,-0.027,0,,,,0,0,1,12h06m31.87s,181.632797,-05d49m38.7s,-5.827410,112.00,18.00,-18.00,0,3940.00,70.00,-70.00,0,0.65,0.06,-0.06,0,0.63,0.06,-0.06,0,2018-02-01,,,,10.956,0.026,0
832,K2-154,b,Transit,2,3.67635000,0.00017000,-0.00017000,0,0.040800,0.001200,-0.001200,0,,,,0,,,,0,,,,0,0.199,0.033,-0.021,0,,,,0,0,1,12h36m00.36s,189.001511,-02d40m10.1s,-2.669481,133.00,21.00,-21.00,0,3978.00,70.00,-70.00,0,0.67,0.06,-0.06,0,0.65,0.07,-0.07,0,2018-02-01,,,,11.219,0.024,0
833,K2-154,c,Transit,2,7.95478000,0.00063000,-0.00063000,0,0.068300,0.002100,-0.002100,0,,,,0,,,,0,,,,0,0.187,0.022,-0.021,0,,,,0,0,1,12h36m00.36s,189.001511,-02d40m10.1s,-2.669481,133.00,21.00,-21.00,0,3978.00,70.00,-70.00,0,0.67,0.06,-0.06,0,0.65,0.07,-0.07,0,2018-02-01,,,,11.219,0.024,0
834,K2-155,b,Transit,3,6.34365000,0.00028000,-0.00028000,0,0.054600,0.001900,-0.001900,0,,,,0,,,,0,,,,0,0.138,0.018,-0.015,0,,,,0,0,1,04h21m52.49s,65.468697,+21d21m13.0s,21.353600,62.30,9.30,-9.30,0,3919.00,70.00,-70.00,0,0.54,0.06,-0.06,0,0.53,0.05,-0.05,0,2018-02-01,,,,10.274,0.024,0
