# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar  5 08:26:44 2018
#
# CONSTRAINT:  where (pl_discmethod like '%transit%'
# CONSTRAINT:  and pl_k2flag = 1
# CONSTRAINT:  and dec > -15
# CONSTRAINT:  and st_teff < 5000
# CONSTRAINT:  and st_j < 12
# CONSTRAINT:  )
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN st_actr:        Stellar Activity log(R'HK)
# COLUMN st_actrerr:     Stellar Activity log(R'HK) Unc.
# COLUMN st_actrlim:     Stellar Activity log(R'HK) Limit Flag
# COLUMN st_j:           J-band (2MASS) [mag]
# COLUMN st_jerr:        J-band (2MASS) Unc. [mag]
# COLUMN st_jlim:        J-band (2MASS) Limit Flag
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,st_actr,st_actrerr,st_actrlim,st_j,st_jerr,st_jlim
158,GJ 9827,b,Transit,3,1.20895700,0.00001300,-0.00001200,0,0.020000,0.002000,-0.002000,0,,,,0,85.080,1.080,-1.050,0,,,,0,0.156,0.010,-0.011,0,,,,0,0,0,1,0,23h27m04.83s,351.770142,-01d17m10.6s,-1.286273,30.30,1.60,-1.60,0,4255.00,110.00,-110.00,0,0.66,0.06,-0.06,0,0.65,0.07,-0.07,0,2017-11-02,,,,7.984,0.020,0
159,GJ 9827,c,Transit,3,3.64802000,0.00011000,-0.00011000,0,0.042000,0.003000,-0.003000,0,,,,0,87.810,0.570,-0.540,0,,,,0,0.121,0.008,-0.008,0,,,,0,0,0,1,0,23h27m04.83s,351.770142,-01d17m10.6s,-1.286273,30.30,1.60,-1.60,0,4255.00,110.00,-110.00,0,0.66,0.06,-0.06,0,0.65,0.07,-0.07,0,2017-11-02,,,,7.984,0.020,0
160,GJ 9827,d,Transit,3,6.20141000,0.00013000,-0.00010000,0,0.060000,0.005000,-0.005000,0,,,,0,87.390,0.200,-0.230,0,,,,0,0.187,0.013,-0.013,0,,,,0,0,0,1,0,23h27m04.83s,351.770142,-01d17m10.6s,-1.286273,30.30,1.60,-1.60,0,4255.00,110.00,-110.00,0,0.66,0.06,-0.06,0,0.65,0.07,-0.07,0,2017-11-02,,,,7.984,0.020,0
784,K2-116,b,Transit,1,4.65541100,0.00048600,-0.00047300,0,0.048000,0.002000,-0.002000,0,0.060000,0.141966,-0.053272,0,89.090,0.620,-0.710,0,,,,0,0.062,0.004,-0.004,0,,,,0,0,0,1,0,22h24m36.39s,336.151611,-11d34m43.3s,-11.578691,56.15,6.62,-8.66,0,4348.35,86.10,-87.78,0,0.69,0.07,-0.07,0,0.67,0.03,-0.03,0,2017-10-05,,,,8.597,0.029,0
968,K2-39,b,Transit,1,4.60497000,0.00077000,-0.00077000,0,0.057400,0.001200,-0.001200,0,0.152000,0.084000,-0.068000,0,,,,,0.12522,0.01384,-0.01384,0,0.509,0.056,-0.056,0,1.17000,0.47000,-0.32000,0,0,0,1,0,22h33m28.41s,338.368378,-09d01m22.0s,-9.022769,,,,,4912.00,60.00,-60.00,0,1.19,0.09,-0.07,0,2.93,0.21,-0.21,0,2017-02-09,,,,9.082,0.024,0
819,K2-141,b,Transit,2,0.28032440,0.00000150,-0.00000150,0,,,,0,0.000000,,,0,86.300,2.700,-3.600,0,0.01598,0.00129,-0.00129,0,0.135,0.004,-0.004,0,8.20000,1.10000,-1.10000,0,0,0,1,0,23h23m39.97s,350.916534,-01d11m21.4s,-1.189274,58.77,2.81,-2.81,0,4599.00,79.00,-79.00,0,0.71,0.03,-0.03,0,0.68,0.02,-0.02,0,2018-01-18,,,,9.086,0.021,0
820,K2-141,c,Transit,2,7.74850000,0.00022000,-0.00022000,0,,,,0,0.000000,,,0,87.200,1.600,-2.000,0,0.02328,,,1,0.624,0.410,-0.250,0,,,,0,0,0,1,1,23h23m39.97s,350.916534,-01d11m21.4s,-1.189274,58.77,2.81,-2.81,0,4599.00,79.00,-79.00,0,0.71,0.03,-0.03,0,0.68,0.02,-0.02,0,2018-01-18,,,,9.086,0.021,0
807,K2-136,b,Transit,3,7.97529200,0.00083300,-0.00077000,0,,,,0,0.100000,0.190000,-0.070000,0,89.300,0.500,-0.700,0,,,,0,0.088,0.005,-0.004,0,,,,0,0,0,1,0,04h29m38.99s,67.412460,+22d52m57.8s,22.882721,,,,,4499.00,50.00,-50.00,0,0.74,0.02,-0.02,0,0.66,0.02,-0.02,0,2017-11-09,,,,9.096,0.022,0
808,K2-136,c,Transit,3,17.30713700,0.00025200,-0.00028400,0,,,,0,0.130000,0.270000,-0.110000,0,89.600,0.300,-0.300,0,,,,0,0.260,0.010,-0.009,0,,,,0,0,0,1,0,04h29m38.99s,67.412460,+22d52m57.8s,22.882721,,,,,4499.00,50.00,-50.00,0,0.74,0.02,-0.02,0,0.66,0.02,-0.02,0,2017-11-09,,,,9.096,0.022,0
809,K2-136,d,Transit,3,25.57506500,0.00241800,-0.00235700,0,,,,0,0.140000,0.130000,-0.090000,0,89.400,0.400,-0.200,0,,,,0,0.129,0.010,-0.007,0,,,,0,0,0,1,0,04h29m38.99s,67.412460,+22d52m57.8s,22.882721,,,,,4499.00,50.00,-50.00,0,0.74,0.02,-0.02,0,0.66,0.02,-0.02,0,2017-11-09,,,,9.096,0.022,0
913,K2-209,b,Transit,1,2.08061500,0.00013400,-0.00013000,0,,,,,,,,,86.231,2.669,-6.348,0,,,,,0.077,0.009,-0.006,0,,,,,0,0,1,0,00h58m45.76s,14.690681,+01d23m01.7s,1.383812,,,,,4720.00,50.00,-50.00,0,0.74,0.03,-0.02,0,0.71,0.02,-0.02,0,2018-02-15,,,,9.263,0.024,0
949,K2-3,b,Transit,3,10.05449000,0.00026000,-0.00026000,0,0.076900,0.003900,-0.003900,0,,,,,88.800,0.840,-1.120,0,,,,,0.194,0.027,-0.027,0,,,,,0,0,1,0,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,,,,,3896.00,189.00,-189.00,0,0.60,0.09,-0.09,0,0.56,0.07,-0.07,0,2016-07-07,,,,9.421,0.027,0
950,K2-3,c,Transit,3,24.64354000,0.00117000,-0.00117000,0,0.139900,0.007000,-0.007000,0,,,,,89.120,0.620,-0.860,0,,,,,0.165,0.024,-0.024,0,,,,,0,0,1,1,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,,,,,3896.00,189.00,-189.00,0,0.60,0.09,-0.09,0,0.56,0.07,-0.07,0,2016-07-07,,,,9.421,0.027,0
951,K2-3,d,Transit,3,44.55983000,0.00590000,-0.00590000,0,0.207600,0.010400,-0.010400,0,,,,,89.380,0.430,-0.640,0,,,,,0.135,0.021,-0.021,0,,,,,0,0,1,3,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,,,,,3896.00,189.00,-189.00,0,0.60,0.09,-0.09,0,0.56,0.07,-0.07,0,2016-07-07,,,,9.421,0.027,0
868,K2-18,b,Transit,2,32.93963000,0.00010000,-0.00010000,0,0.143000,0.006000,-0.006000,0,0.430000,,,1,89.579,0.008,-0.009,0,0.02504,0.00601,-0.00601,0,0.212,0.020,-0.020,0,3.30000,1.20000,-1.20000,0,0,0,1,1,11h30m14.51s,172.560455,+07d35m18.2s,7.588391,34.00,4.00,-4.00,0,3457.00,39.00,-39.00,0,0.36,0.05,-0.05,0,0.41,0.04,-0.04,0,2017-12-21,,,,9.763,0.028,0
961,K2-36,b,Transit,2,1.42266000,0.00005000,-0.00005000,0,0.023000,0.000400,-0.000400,0,,,,,87.750,1.620,-2.400,0,,,,,0.118,0.008,-0.008,0,,,,,0,0,1,0,11h17m47.78s,169.449066,+03d51m59.0s,3.866393,,,,,4924.00,60.00,-60.00,0,0.80,0.04,-0.04,0,0.74,0.04,-0.04,0,2016-07-07,,,,10.034,0.022,0
962,K2-36,c,Transit,2,5.34059000,0.00010000,-0.00010000,0,0.055500,0.000900,-0.000900,0,,,,,88.330,1.190,-1.630,0,,,,,0.250,0.038,-0.028,0,,,,,0,0,1,0,11h17m47.78s,169.449066,+03d51m59.0s,3.866393,,,,,4924.00,60.00,-60.00,0,0.80,0.04,-0.04,0,0.74,0.04,-0.04,0,2016-07-07,,,,10.034,0.022,0
792,K2-122,b,Transit,1,2.21940500,0.00007100,-0.00006900,0,0.029000,0.001000,-0.001000,0,0.210000,0.182563,-0.167694,0,86.390,1.410,-0.630,0,,,,0,0.114,0.007,-0.007,0,,,,0,0,0,1,0,08h25m54.31s,126.476311,+20d21m34.5s,20.359570,74.00,11.00,-11.00,0,3993.36,77.64,-76.32,0,0.63,0.06,-0.06,0,0.59,0.03,-0.03,0,2017-10-05,,,,10.104,0.022,0
803,K2-132,b,Transit,1,9.17510000,0.00230000,-0.00270000,0,,,,0,,,,0,,,,0,0.49000,0.06000,-0.06000,0,1.300,0.070,-0.070,0,,,,0,0,0,1,0,12h08m39.94s,182.166397,-08d44m49.8s,-8.747175,,,,,4840.00,90.00,-90.00,0,1.08,0.08,-0.08,0,3.85,0.13,-0.13,0,2017-10-19,,,,10.153,0.022,0
1025,K2-85,b,Transit,1,0.68453300,0.00001800,-0.00001800,0,0.012630,0.000370,-0.000370,0,,,,,,,,,,,,,0.090,0.011,-0.011,0,,,,,0,0,1,0,03h57m51.45s,59.464394,+18d27m54.9s,18.465254,,,,,4268.00,122.00,-122.00,0,0.57,0.05,-0.05,0,0.51,0.04,-0.04,0,2016-07-18,,,,10.229,0.024,0
862,K2-174,b,Transit,1,19.56274300,0.00075500,-0.00072600,0,,,,,,,,,88.944,0.711,-0.957,0,,,,,0.222,0.016,-0.009,0,,,,,0,0,1,0,04h03m10.28s,60.792843,+16d20m50.8s,16.347446,,,,,4500.00,50.00,-50.00,0,0.67,0.02,-0.02,0,0.64,0.02,-0.02,0,2018-02-15,,,,10.231,0.021,0
914,K2-21,b,Transit,2,9.32503800,0.00037900,-0.00040300,0,0.076000,0.002000,-0.003000,0,0.100000,0.148654,-0.084698,0,88.980,0.500,-0.310,0,,,,0,0.164,0.009,-0.009,0,,,,0,0,0,1,0,22h41m12.88s,340.303680,-14d29m20.4s,-14.488987,,,,,4222.06,88.15,-84.41,0,0.68,0.07,-0.07,0,0.65,0.03,-0.03,0,2017-10-26,,,,10.251,0.021,0
915,K2-21,c,Transit,2,15.50192000,0.00091800,-0.00092800,0,0.107000,0.003000,-0.004000,0,0.210000,0.206770,-0.173719,0,88.850,0.400,-0.150,0,,,,0,0.222,0.015,-0.017,0,,,,0,0,0,1,0,22h41m12.88s,340.303680,-14d29m20.4s,-14.488987,,,,,4222.06,88.15,-84.41,0,0.68,0.07,-0.07,0,0.65,0.03,-0.03,0,2017-10-26,,,,10.251,0.021,0
